LOGP	NORM_QNORM
-24.000	-6.5092982359543
-23.999	-6.50914800307411
-23.998	-6.50899776687357
-23.997	-6.50884752735245
-23.996	-6.50869728451054
-23.995	-6.50854703834763
-23.994	-6.50839678886349
-23.993	-6.50824653605791
-23.992	-6.50809627993068
-23.991	-6.50794602048156
-23.990	-6.50779575771035
-23.989	-6.50764549161684
-23.988	-6.50749522220079
-23.987	-6.507344949462
-23.986	-6.50719467340024
-23.985	-6.5070443940153
-23.984	-6.50689411130696
-23.983	-6.50674382527501
-23.982	-6.50659353591922
-23.981	-6.50644324323938
-23.980	-6.50629294723527
-23.979	-6.50614264790667
-23.978	-6.50599234525337
-23.977	-6.50584203927514
-23.976	-6.50569172997178
-23.975	-6.50554141734305
-23.974	-6.50539110138875
-23.973	-6.50524078210866
-23.972	-6.50509045950255
-23.971	-6.50494013357022
-23.970	-6.50478980431143
-23.969	-6.50463947172599
-23.968	-6.50448913581365
-23.967	-6.50433879657422
-23.966	-6.50418845400747
-23.965	-6.50403810811317
-23.964	-6.50388775889113
-23.963	-6.50373740634111
-23.962	-6.5035870504629
-23.961	-6.50343669125627
-23.960	-6.50328632872102
-23.959	-6.50313596285693
-23.958	-6.50298559366377
-23.957	-6.50283522114132
-23.956	-6.50268484528938
-23.955	-6.50253446610772
-23.954	-6.50238408359612
-23.953	-6.50223369775436
-23.952	-6.50208330858223
-23.951	-6.5019329160795
-23.950	-6.50178252024597
-23.949	-6.5016321210814
-23.948	-6.50148171858559
-23.947	-6.50133131275831
-23.946	-6.50118090359935
-23.945	-6.50103049110848
-23.944	-6.50088007528549
-23.943	-6.50072965613017
-23.942	-6.50057923364228
-23.941	-6.50042880782162
-23.940	-6.50027837866796
-23.939	-6.50012794618108
-23.938	-6.49997751036077
-23.937	-6.49982707120681
-23.936	-6.49967662871898
-23.935	-6.49952618289706
-23.934	-6.49937573374083
-23.933	-6.49922528125007
-23.932	-6.49907482542457
-23.931	-6.4989243662641
-23.930	-6.49877390376844
-23.929	-6.49862343793739
-23.928	-6.49847296877071
-23.927	-6.4983224962682
-23.926	-6.49817202042962
-23.925	-6.49802154125477
-23.924	-6.49787105874342
-23.923	-6.49772057289535
-23.922	-6.49757008371034
-23.921	-6.49741959118819
-23.920	-6.49726909532865
-23.919	-6.49711859613153
-23.918	-6.49696809359659
-23.917	-6.49681758772363
-23.916	-6.49666707851241
-23.915	-6.49651656596272
-23.914	-6.49636605007434
-23.913	-6.49621553084706
-23.912	-6.49606500828065
-23.911	-6.49591448237489
-23.910	-6.49576395312956
-23.909	-6.49561342054445
-23.908	-6.49546288461934
-23.907	-6.495312345354
-23.906	-6.49516180274822
-23.905	-6.49501125680177
-23.904	-6.49486070751445
-23.903	-6.49471015488602
-23.902	-6.49455959891627
-23.901	-6.49440903960497
-23.900	-6.49425847695192
-23.899	-6.49410791095688
-23.898	-6.49395734161965
-23.897	-6.49380676894
-23.896	-6.4936561929177
-23.895	-6.49350561355255
-23.894	-6.49335503084432
-23.893	-6.4932044447928
-23.892	-6.49305385539775
-23.891	-6.49290326265896
-23.890	-6.49275266657622
-23.889	-6.4926020671493
-23.888	-6.49245146437798
-23.887	-6.49230085826205
-23.886	-6.49215024880128
-23.885	-6.49199963599545
-23.884	-6.49184901984434
-23.883	-6.49169840034773
-23.882	-6.49154777750542
-23.881	-6.49139715131716
-23.880	-6.49124652178274
-23.879	-6.49109588890195
-23.878	-6.49094525267455
-23.877	-6.49079461310035
-23.876	-6.4906439701791
-23.875	-6.4904933239106
-23.874	-6.49034267429462
-23.873	-6.49019202133094
-23.872	-6.49004136501933
-23.871	-6.48989070535959
-23.870	-6.4897400423515
-23.869	-6.48958937599482
-23.868	-6.48943870628934
-23.867	-6.48928803323485
-23.866	-6.48913735683111
-23.865	-6.48898667707791
-23.864	-6.48883599397503
-23.863	-6.48868530752225
-23.862	-6.48853461771935
-23.861	-6.4883839245661
-23.860	-6.48823322806229
-23.859	-6.48808252820769
-23.858	-6.48793182500209
-23.857	-6.48778111844527
-23.856	-6.487630408537
-23.855	-6.48747969527706
-23.854	-6.48732897866523
-23.853	-6.4871782587013
-23.852	-6.48702753538504
-23.851	-6.48687680871623
-23.850	-6.48672607869465
-23.849	-6.48657534532008
-23.848	-6.48642460859229
-23.847	-6.48627386851108
-23.846	-6.48612312507621
-23.845	-6.48597237828746
-23.844	-6.48582162814463
-23.843	-6.48567087464747
-23.842	-6.48552011779578
-23.841	-6.48536935758933
-23.840	-6.4852185940279
-23.839	-6.48506782711127
-23.838	-6.48491705683921
-23.837	-6.48476628321152
-23.836	-6.48461550622796
-23.835	-6.48446472588832
-23.834	-6.48431394219237
-23.833	-6.4841631551399
-23.832	-6.48401236473067
-23.831	-6.48386157096448
-23.830	-6.48371077384109
-23.829	-6.4835599733603
-23.828	-6.48340916952187
-23.827	-6.48325836232558
-23.826	-6.48310755177122
-23.825	-6.48295673785857
-23.824	-6.48280592058739
-23.823	-6.48265509995748
-23.822	-6.48250427596859
-23.821	-6.48235344862053
-23.820	-6.48220261791307
-23.819	-6.48205178384597
-23.818	-6.48190094641904
-23.817	-6.48175010563202
-23.816	-6.48159926148472
-23.815	-6.48144841397691
-23.814	-6.48129756310836
-23.813	-6.48114670887886
-23.812	-6.48099585128818
-23.811	-6.4808449903361
-23.810	-6.4806941260224
-23.809	-6.48054325834686
-23.808	-6.48039238730925
-23.807	-6.48024151290935
-23.806	-6.48009063514695
-23.805	-6.47993975402182
-23.804	-6.47978886953373
-23.803	-6.47963798168248
-23.802	-6.47948709046782
-23.801	-6.47933619588955
-23.800	-6.47918529794744
-23.799	-6.47903439664126
-23.798	-6.47888349197081
-23.797	-6.47873258393584
-23.796	-6.47858167253615
-23.795	-6.47843075777151
-23.794	-6.47827983964169
-23.793	-6.47812891814648
-23.792	-6.47797799328566
-23.791	-6.477827065059
-23.790	-6.47767613346628
-23.789	-6.47752519850727
-23.788	-6.47737426018176
-23.787	-6.47722331848951
-23.786	-6.47707237343032
-23.785	-6.47692142500396
-23.784	-6.47677047321021
-23.783	-6.47661951804883
-23.782	-6.47646855951962
-23.781	-6.47631759762234
-23.780	-6.47616663235678
-23.779	-6.47601566372271
-23.778	-6.47586469171991
-23.777	-6.47571371634816
-23.776	-6.47556273760724
-23.775	-6.47541175549692
-23.774	-6.47526077001698
-23.773	-6.47510978116719
-23.772	-6.47495878894734
-23.771	-6.4748077933572
-23.770	-6.47465679439656
-23.769	-6.47450579206517
-23.768	-6.47435478636284
-23.767	-6.47420377728932
-23.766	-6.4740527648444
-23.765	-6.47390174902787
-23.764	-6.47375072983948
-23.763	-6.47359970727902
-23.762	-6.47344868134627
-23.761	-6.47329765204099
-23.760	-6.47314661936299
-23.759	-6.47299558331202
-23.758	-6.47284454388786
-23.757	-6.4726935010903
-23.756	-6.4725424549191
-23.755	-6.47239140537406
-23.754	-6.47224035245493
-23.753	-6.47208929616151
-23.752	-6.47193823649356
-23.751	-6.47178717345086
-23.750	-6.47163610703319
-23.749	-6.47148503724034
-23.748	-6.47133396407206
-23.747	-6.47118288752814
-23.746	-6.47103180760837
-23.745	-6.4708807243125
-23.744	-6.47072963764033
-23.743	-6.47057854759162
-23.742	-6.47042745416616
-23.741	-6.47027635736371
-23.740	-6.47012525718407
-23.739	-6.46997415362699
-23.738	-6.46982304669227
-23.737	-6.46967193637967
-23.736	-6.46952082268898
-23.735	-6.46936970561996
-23.734	-6.4692185851724
-23.733	-6.46906746134608
-23.732	-6.46891633414076
-23.731	-6.46876520355622
-23.730	-6.46861406959225
-23.729	-6.46846293224861
-23.728	-6.46831179152509
-23.727	-6.46816064742145
-23.726	-6.46800949993748
-23.725	-6.46785834907295
-23.724	-6.46770719482765
-23.723	-6.46755603720134
-23.722	-6.46740487619379
-23.721	-6.46725371180479
-23.720	-6.46710254403412
-23.719	-6.46695137288155
-23.718	-6.46680019834685
-23.717	-6.4666490204298
-23.716	-6.46649783913018
-23.715	-6.46634665444776
-23.714	-6.46619546638231
-23.713	-6.46604427493363
-23.712	-6.46589308010147
-23.711	-6.46574188188562
-23.710	-6.46559068028585
-23.709	-6.46543947530194
-23.708	-6.46528826693367
-23.707	-6.4651370551808
